#           k/h    P           
    0.16690E-01    0.25263E+05
    0.16858E-01    0.25262E+05
    0.17028E-01    0.25257E+05
    0.17199E-01    0.25250E+05
    0.17371E-01    0.25239E+05
    0.17546E-01    0.25225E+05
    0.17722E-01    0.25207E+05
    0.17901E-01    0.25186E+05
    0.18080E-01    0.25160E+05
    0.18262E-01    0.25132E+05
    0.18446E-01    0.25099E+05
    0.18631E-01    0.25064E+05
    0.18818E-01    0.25026E+05
    0.19007E-01    0.24984E+05
    0.19198E-01    0.24940E+05
    0.19391E-01    0.24894E+05
    0.19586E-01    0.24844E+05
    0.19783E-01    0.24793E+05
    0.19982E-01    0.24738E+05
    0.20183E-01    0.24681E+05
    0.20386E-01    0.24620E+05
    0.20590E-01    0.24557E+05
    0.20797E-01    0.24489E+05
    0.21006E-01    0.24419E+05
    0.21218E-01    0.24345E+05
    0.21431E-01    0.24267E+05
    0.21646E-01    0.24185E+05
    0.21864E-01    0.24099E+05
    0.22083E-01    0.24010E+05
    0.22305E-01    0.23917E+05
    0.22530E-01    0.23821E+05
    0.22756E-01    0.23722E+05
    0.22985E-01    0.23620E+05
    0.23216E-01    0.23515E+05
    0.23449E-01    0.23408E+05
    0.23685E-01    0.23298E+05
    0.23923E-01    0.23186E+05
    0.24163E-01    0.23072E+05
    0.24406E-01    0.22956E+05
    0.24651E-01    0.22838E+05
    0.24899E-01    0.22718E+05
    0.25149E-01    0.22596E+05
    0.25402E-01    0.22471E+05
    0.25657E-01    0.22344E+05
    0.25915E-01    0.22216E+05
    0.26176E-01    0.22085E+05
    0.26439E-01    0.21952E+05
    0.26704E-01    0.21818E+05
    0.26973E-01    0.21681E+05
    0.27244E-01    0.21542E+05
    0.27518E-01    0.21401E+05
    0.27794E-01    0.21258E+05
    0.28074E-01    0.21113E+05
    0.28356E-01    0.20966E+05
    0.28641E-01    0.20817E+05
    0.28929E-01    0.20665E+05
    0.29219E-01    0.20512E+05
    0.29513E-01    0.20357E+05
    0.29810E-01    0.20200E+05
    0.30109E-01    0.20041E+05
    0.30412E-01    0.19881E+05
    0.30717E-01    0.19719E+05
    0.31026E-01    0.19556E+05
    0.31338E-01    0.19392E+05
    0.31653E-01    0.19226E+05
    0.31971E-01    0.19060E+05
    0.32292E-01    0.18893E+05
    0.32617E-01    0.18725E+05
    0.32945E-01    0.18556E+05
    0.33276E-01    0.18387E+05
    0.33610E-01    0.18218E+05
    0.33948E-01    0.18049E+05
